id;name;price;link;description
201;Тональный крем L'Oréal True Match;999 рублей;https://example.com/101;Легкий тональный крем с матовым финишем, оттенок N2 Nude Beige. Содержит SPF 17. Подходит для чувствительной кожи.
202;Помада MAC Matte Lipstick;2490 рублей;https://example.com/102;Матовая помада из коллекции Retro Matte, оттенок Ruby Woo. Устойчивая формула, насыщенный красный цвет.
203;Тушь для ресниц Maybelline Lash Sensational;699 рублей;https://example.com/103;Объемная тушь с эффектом веера. Щеточка с микрощетинками разделяет каждую ресничку.
204;Палетка теней Urban Decay Naked3;3990 рублей;https://example.com/104;Палетка из 12 оттенков розовых и нейтральных теней. Матовые и шиммерные текстуры.
205;Бронзер Hoola от Benefit;2790 рублей;https://example.com/105;Матовый бронзер универсального оттенка. Компактная упаковка с зеркалом и пушистой кистью.
206;Хайлайтер Becca Shimmering Skin Perfector;2590 рублей;https://example.com/106;Жидкий хайлайтер с перламутровым сиянием, оттенок Champagne Pop.
207;Карандаш для бровей Anastasia Beverly Hills;1890 рублей;https://example.com/107;Механический карандаш с восковой текстурой, оттенок Soft Brown.
208;Румяна NARS Blush;2390 рублей;https://example.com/108;Румяна с шелковистой текстурой, оттенок Orgasm. Золотисто-розовый с легким шиммером.
209;Праймер для лица Smashbox Photo Finish Foundation Primer;2890 рублей;https://example.com/109;Увлажняющий праймер, выравнивает тон кожи и продлевает стойкость макияжа.
210;Консилер Tarte Shape Tape;2190 рублей;https://example.com/110;Высокопигментированный консилер, оттенок Light Neutral. Скрывает темные круги и покраснения.
211;Пудра Laura Mercier Translucent Loose Setting Powder;3190 рублей;https://example.com/111;Прозрачная рассыпчатая пудра для фиксации макияжа. Матирует кожу.
212;Блеск для губ Dior Addict Lip Maximizer;2990 рублей;https://example.com/112;Увлажняющий блеск с эффектом объема, оттенок Pink.
213;Кисть для макияжа Real Techniques;799 рублей;https://example.com/113;Кисть для нанесения тонального крема, мягкая и плотная щетина.
214;Палетка корректоров NYX Professional Makeup;1299 рублей;https://example.com/114;Набор из 6 корректоров разных оттенков для маскировки недостатков кожи.
215;Гель для бровей Benefit Gimme Brow+;2590 рублей;https://example.com/115;Водостойкий гель с микрофиброй, оттенок Medium.
216;Тени для век Pat McGrath Labs;4590 рублей;https://example.com/116;Шиммерные тени из коллекции Mothership, оттенок Gold 001.
217;База под макияж глаз Urban Decay Primer Potion;1690 рублей;https://example.com/117;Прозрачная база, увеличивает стойкость теней и яркость цвета.
218;Помада YSL Rouge Pur Couture;3490 рублей;https://example.com/118;Кремовая помада с увлажняющей формулой, оттенок Le Rouge.
219;Тушь для бровей Anastasia Beverly Hills;1990 рублей;https://example.com/119;Водостойкая тушь, фиксирует волоски и придает объем.
220;Палетка хайлайтеров Fenty Beauty Killawatt Freestyle Highlighter;3190 рублей;https://example.com/120;Два оттенка хайлайтеров: металлический и сияющий.
221;Консилер Maybelline Fit Me Concealer;699 рублей;https://example.com/121;Легкая текстура, оттенок Light. Идеально подходит для ежедневного использования.
222;Помада-карандаш Kylie Cosmetics;1990 рублей;https://example.com/122;Матовая помада, оттенок Koko K. Удобный аппликатор для точного нанесения.
223;Палетка теней Morphe 35O;2490 рублей;https://example.com/123;35 теплых оттенков теней, матовые и шиммерные текстуры.
224;Праймер для век Too Faced Shadow Insurance;1890 рублей;https://example.com/124;Прозрачная база, предотвращает скатывание теней.
225;Румяна в стике Milk Makeup Lip + Cheek;1990 рублей;https://example.com/125;Универсальный кремовый продукт для губ и щек, оттенок Perk.
226;Тональный крем Estée Lauder Double Wear;4790 рублей;https://example.com/126;Стойкий тональный крем, оттенок Cool Vanilla. Устойчив к воде и поту.
227;Блеск для губ Lancôme Juicy Tubes;1990 рублей;https://example.com/127;Прозрачный блеск с ароматом фруктов, оттенок Berry.
228;Палетка контурирования Kat Von D Shade + Light Contour Palette;3990 рублей;https://example.com/128;6 оттенков для создания четких контуров лица.
229;Помада Charlotte Tilbury Matte Revolution;2990 рублей;https://example.com/129;Матовая помада с комфортной текстурой, оттенок Pillow Talk.
230;Тени для век Huda Beauty Obsessions;1990 рублей;https://example.com/130;Мини-палетка из 9 оттенков, коллекция Rose Gold.
231;Праймер для лица Hourglass Veil Mineral Primer;4290 рублей;https://example.com/131;Минеральная база с легкой текстурой, матирует кожу.
232;Помада-блеск Dior Addict Stellar Shine;2990 рублей;https://example.com/132;Блестящий финиш, оттенок Star.
233;Палетка теней Natasha Denona Mini Palette;4990 рублей;https://example.com/133;5 оттенков с металлическим и матовым финишем.
234;Бронзер Fenty Beauty Sun Stalk'r Instant Warmth Bronzer;2990 рублей;https://example.com/134;Матовый бронзер, оттенок Private Island.
235;Тушь для ресниц Lancôme Monsieur Big;2190 рублей;https://example.com/135;Объемная тушь с черной щеточкой, создает эффект "паучьих лапок".
236;Помада Tom Ford Lip Color;4990 рублей;https://example.com/136;Кремовая помада с насыщенным пигментом, оттенок Scarlet Rouge.
