id;name;price;link;description
1;Яблоки;100 рублей;https://example.com/apples;Свежие яблоки, вес 1 кг. Состав: 100% натуральные яблоки. Белки: 0.3 г, жиры: 0.4 г, углеводы: 10 г, калорийность: 47 ккал.
2;Бананы;120 рублей;https://example.com/bananas;Спелые бананы, вес 1 кг. Состав: 100% натуральные бананы. Белки: 1.1 г, жиры: 0.3 г, углеводы: 22 г, калорийность: 96 ккал.
3;Гречневая крупа;80 рублей;https://example.com/buckwheat;Пачка гречневой крупы, вес 900 г. Состав: крупа гречневая. Белки: 12 г, жиры: 3 г, углеводы: 68 г, калорийность: 330 ккал.
4;Рис;90 рублей;https://example.com/rice;Белый рис, вес 1 кг. Состав: рис шлифованный. Белки: 7 г, жиры: 1 г, углеводы: 75 г, калорийность: 340 ккал.
5;Молоко;70 рублей;https://example.com/milk;Молоко пастеризованное, объем 1 л. Состав: молоко цельное. Белки: 3 г, жиры: 3.2 г, углеводы: 4.7 г, калорийность: 60 ккал.
6;Творог;150 рублей;https://example.com/cottage-cheese;Творог 9%, вес 500 г. Состав: молоко, закваска. Белки: 18 г, жиры: 9 г, углеводы: 2 г, калорийность: 160 ккал.
7;Куриное филе;250 рублей;https://example.com/chicken-fillet;Филе куриной грудки, вес 1 кг. Состав: мясо курицы. Белки: 24 г, жиры: 1 г, углеводы: 0 г, калорийность: 110 ккал.
8;Говядина;400 рублей;https://example.com/beef;Говяжья вырезка, вес 1 кг. Состав: мясо говядины. Белки: 20 г, жиры: 15 г, углеводы: 0 г, калорийность: 250 ккал.
9;Свинина;350 рублей;https://example.com/pork;Свиная шейка, вес 1 кг. Состав: мясо свинины. Белки: 17 г, жиры: 20 г, углеводы: 0 г, калорийность: 280 ккал.
10;Яйца;80 рублей;https://example.com/eggs;Куриные яйца, 10 штук. Состав: яйцо куриное. Белки: 13 г, жиры: 11 г, углеводы: 1 г, калорийность: 155 ккал.
11;Хлеб;50 рублей;https://example.com/bread;Белый хлеб, вес 500 г. Состав: мука, вода, дрожжи. Белки: 7 г, жиры: 1 г, углеводы: 48 г, калорийность: 220 ккал.
12;Черный хлеб;60 рублей;https://example.com/black-bread;Ржаной хлеб, вес 500 г. Состав: ржаная мука, вода, дрожжи. Белки: 6 г, жиры: 1 г, углеводы: 45 г, калорийность: 200 ккал.
13;Макароны;70 рублей;https://example.com/pasta;Макаронные изделия, вес 500 г. Состав: мука пшеничная. Белки: 10 г, жиры: 1 г, углеводы: 70 г, калорийность: 350 ккал.
14;Шоколад;120 рублей;https://example.com/chocolate;Темный шоколад, вес 100 г. Состав: какао-масса, сахар, какао-масло. Белки: 5 г, жиры: 30 г, углеводы: 50 г, калорийность: 500 ккал.
15;Мёд;300 рублей;https://example.com/honey;Натуральный мёд, вес 500 г. Состав: 100% мёд. Белки: 0.3 г, жиры: 0 г, углеводы: 80 г, калорийность: 300 ккал.
16;Оливковое масло;400 рублей;https://example.com/olive-oil;Оливковое масло extra virgin, объем 1 л. Состав: оливковое масло. Белки: 0 г, жиры: 99 г, углеводы: 0 г, калорийность: 880 ккал.
17;Сметана;180 рублей;https://example.com/sour-cream;Сметана 20%, вес 400 г. Состав: молоко, закваска. Белки: 2.5 г, жиры: 20 г, углеводы: 3 г, калорийность: 200 ккал.
18;Йогурт;60 рублей;https://example.com/yogurt;Натуральный йогурт, объем 500 мл. Состав: молоко, закваска. Белки: 4 г, жиры: 3 г, углеводы: 5 г, калорийность: 60 ккал.
19;Сыр;300 рублей;https://example.com/cheese;Твердый сыр, вес 500 г. Состав: молоко, закваска, соль. Белки: 25 г, жиры: 30 г, углеводы: 1 г, калорийность: 400 ккал.
