id;name;price;link;description
301;Настенная полка "Минимализм";2490 рублей;https://example.com/product151;Стильная настенная полка из натурального дерева, цвет - светлый дуб. Идеально подходит для хранения книг и декоративных элементов в скандинавском стиле.
302;Ковер "Геометрия";5990 рублей;https://example.com/product152;Мягкий ковер с геометрическим узором, размер 160х230 см. Цвет: серый с белым. Материал: шерсть и акрил. Подходит для гостиной или спальни.
303;Декоративные подушки (набор из 2 шт);1890 рублей;https://example.com/product153;Набор из двух подушек с бархатной текстурой. Цвета: бежевый и темно-синий. Размер: 50х50 см. В комплект входят наполнители.
304;Настенный светильник "Ретро";3790 рублей;https://example.com/product154;Латунный светильник в стиле ретро, идеально подходит для освещения рабочей зоны или обеденного стола. Цвет: золотистый.
305;Декоративное панно "Природа";4290 рублей;https://example.com/product155;Панно из натурального камня с изображением горного пейзажа. Размер: 80х60 см. Стиль: эко-дизайн.
306;Стул "Винтаж";6990 рублей;https://example.com/product156;Деревянный стул с мягким сиденьем, обтянутым бежевой тканью. Цвет ножек: темное дерево. Стиль: классический.
307;Зеркало "Овал";8990 рублей;https://example.com/product157;Большое зеркало в металлической раме черного цвета. Размер: 100х150 см. Стиль: современный.
308;Текстильный кашпо "Бохо";1290 рублей;https://example.com/product158;Подвесное кашпо из натурального льна, цвет: коричневый. Размер: диаметр 25 см. Идеально для комнатных растений.
309;Консольный столик "Лофт";12490 рублей;https://example.com/product159;Столик из металла и дерева, цвет: черный + светлое дерево. Размер: 120х40х80 см. Стиль: индустриальный.
310;Декоративная свеча "Арома";790 рублей;https://example.com/product160;Ароматическая свеча в стеклянном стакане, объем: 250 мл. Аромат: ваниль и сандал. Горение до 50 часов.
311;Картина "Абстракция";9990 рублей;https://example.com/product161;Художественная картина маслом на холсте, размер: 100х80 см. Цветовая гамма: синий, желтый, белый. Стиль: современный.
312;Пуфик "Круг";5990 рублей;https://example.com/product162;Мягкий пуфик круглой формы, обтянутый серой тканью. Диаметр: 45 см. Высота: 40 см. Стиль: минимализм.
313;Настенные часы "Дерево";3490 рублей;https://example.com/product163;Часы из натурального дерева, форма: круглая. Диаметр: 60 см. Цвет: светлое дерево. Стиль: эко.
314;Шторы "Шифон";4990 рублей;https://example.com/product164;Прозрачные шторы из шифона, цвет: белый. Размер: 250х300 см. Стиль: романтичный.
315;Декоративная ваза "Керамика";2990 рублей;https://example.com/product165;Ваза из керамики, цвет: матовый черный. Высота: 40 см. Стиль: современный.
316;Тумба "Классика";14990 рублей;https://example.com/product166;Деревянная тумба с двумя ящиками, цвет: орех. Размер: 80х40х50 см. Стиль: классический.
317;Декоративная подставка для книг;1990 рублей;https://example.com/product167;Металлическая подставка для книг в форме абстрактной фигуры. Цвет: золотистый. Стиль: современный.
318;Настенный органайзер "Лен";2290 рублей;https://example.com/product168;Органайзер из льна с тремя карманами, цвет: бежевый. Размер: 60х40 см. Стиль: бохо.
