id;name;price;link;description
101;Футболка "Classic";990 рублей;https://example.com/product/51;Универсальная футболка из мягкого хлопка. Цвет: белый. Идеально подходит для повседневной носки. Прямой крой, круглый вырез.
102;Джинсы "Slim Fit";2490 рублей;https://example.com/product/52;Джинсы с зауженным кроем. Материал: деним с добавлением эластана. Цвет: темно-синий. Стиль: casual.
103;Платье "Evening Grace";3750 рублей;https://example.com/product/53;Элегантное вечернее платье из атласа. Цвет: черный. Длина до колена, открытая спина.
104;Куртка "Windbreaker";4200 рублей;https://example.com/product/54;Легкая ветровка с водоотталкивающим покрытием. Цвет: серый. Материал: полиэстер.
105;Толстовка "Urban Style";1890 рублей;https://example.com/product/55;Уютная толстовка с капюшоном. Цвет: бордовый. Материал: флис. Стиль: уличный.
106;Юбка "Pencil Skirt";1500 рублей;https://example.com/product/56;Юбка-карандаш из эластичного материала. Цвет: бежевый. Длина: миди. Подходит для офисного стиля.
107;Брюки "Chino";2100 рублей;https://example.com/product/57;Классические брюки чинос. Цвет: коричневый. Материал: хлопок с добавлением эластана.
108;Пальто "Winter Warmth";5990 рублей;https://example.com/product/58;Теплое зимнее пальто с поясом. Цвет: темно-зеленый. Материал: шерсть.
109;Шорты "Summer Breeze";1200 рублей;https://example.com/product/59;Легкие летние шорты. Цвет: светло-голубой. Материал: лен.
110;Рубашка "Business Elite";2300 рублей;https://example.com/product/60;Классическая рубашка с длинным рукавом. Цвет: белый. Материал: хлопок.
111;Свитер "Cozy Nights";2750 рублей;https://example.com/product/61;Теплый свитер крупной вязки. Цвет: серый меланж. Материал: шерсть.
112;Пуховик "Arctic Shield";7500 рублей;https://example.com/product/62;Зимний пуховик с капюшоном. Цвет: черный. Наполнитель: гусиный пух.
113;Леггинсы "Active Life";1400 рублей;https://example.com/product/63;Спортивные леггинсы с высокой талией. Цвет: черный. Материал: эластичный полиэстер.
114;Пиджак "Elegant Touch";3400 рублей;https://example.com/product/64;Женский пиджак приталенного кроя. Цвет: бежевый. Материал: смесовая ткань.
115;Комбинезон "Casual Day";3100 рублей;https://example.com/product/65;Комбинезон свободного кроя. Цвет: оливковый. Материал: хлопок.
116;Водолазка "Minimalist";1300 рублей;https://example.com/product/66;Облегающая водолазка из трикотажа. Цвет: черный. Материал: вискоза.
117;Костюм "Power Suit";4800 рублей;https://example.com/product/67;Женский деловой костюм (пиджак + брюки). Цвет: темно-синий. Материал: шерсть.
118;Платье "Summer Bloom";2600 рублей;https://example.com/product/68;Легкое платье в цветочек. Цвет: белый с розовым принтом. Материал: хлопок.
119;Куртка "Denim Jacket";2900 рублей;https://example.com/product/69;Классическая джинсовая куртка. Цвет: синий. Материал: деним.
120;Блузка "Lace Elegance";1900 рублей;https://example.com/product/70;Блузка с кружевными вставками. Цвет: белый. Материал: полиэстер.
121;Шуба "Luxury Fur";12000 рублей;https://example.com/product/71;Натуральная шуба из меха норки. Цвет: песочный. Длина: миди.
122;Джемпер "Autumn Leaves";2200 рублей;https://example.com/product/72;Джемпер с объемным узором. Цвет: оранжевый. Материал: акрил.
123;Юбка "Flared Skirt";1700 рублей;https://example.com/product/73;Юбка-трапеция с завышенной талией. Цвет: красный. Материал: вискоза.
124;Платье "Maxi Dream";3300 рублей;https://example.com/product/74;Длинное макси-платье. Цвет: зеленый. Материал: шифон.
