id;name;price;link;description
1;Яблоки;100 рублей;https://example.com;Свежие яблоки, вес 1 кг. Состав: 100% натуральные яблоки. Белки: 0.3 г, жиры: 0.4 г, углеводы: 10 г, калорийность: 47 ккал.
2;Бананы;120 рублей;https://example.com;Спелые бананы, вес 1 кг. Состав: 100% натуральные бананы. Белки: 1.1 г, жиры: 0.3 г, углеводы: 22 г, калорийность: 96 ккал.
3;Гречневая крупа;80 рублей;https://example.com;Пачка гречневой крупы, вес 900 г. Состав: крупа гречневая. Белки: 12 г, жиры: 3 г, углеводы: 68 г, калорийность: 330 ккал.
4;Рис;90 рублей;https://example.com;Белый рис, вес 1 кг. Состав: рис шлифованный. Белки: 7 г, жиры: 1 г, углеводы: 75 г, калорийность: 340 ккал.
5;Молоко;70 рублей;https://example.com;Молоко пастеризованное, объем 1 л. Состав: молоко цельное. Белки: 3 г, жиры: 3.2 г, углеводы: 4.7 г, калорийность: 60 ккал.
6;Творог;150 рублей;https://example.com;Творог 9%, вес 500 г. Состав: молоко, закваска. Белки: 18 г, жиры: 9 г, углеводы: 2 г, калорийность: 160 ккал.
7;Куриное филе;250 рублей;https://example.com;Филе куриной грудки, вес 1 кг. Состав: мясо курицы. Белки: 24 г, жиры: 1 г, углеводы: 0 г, калорийность: 110 ккал.
8;Говядина;400 рублей;https://example.com;Говяжья вырезка, вес 1 кг. Состав: мясо говядины. Белки: 20 г, жиры: 15 г, углеводы: 0 г, калорийность: 250 ккал.
9;Свинина;350 рублей;https://example.com;Свиная шейка, вес 1 кг. Состав: мясо свинины. Белки: 17 г, жиры: 20 г, углеводы: 0 г, калорийность: 280 ккал.
10;Яйца;80 рублей;https://example.com;Куриные яйца, 10 штук. Состав: яйцо куриное. Белки: 13 г, жиры: 11 г, углеводы: 1 г, калорийность: 155 ккал.
11;Хлеб;50 рублей;https://example.com;Белый хлеб, вес 500 г. Состав: мука, вода, дрожжи. Белки: 7 г, жиры: 1 г, углеводы: 48 г, калорийность: 220 ккал.
12;Черный хлеб;60 рублей;https://example.com;Ржаной хлеб, вес 500 г. Состав: ржаная мука, вода, дрожжи. Белки: 6 г, жиры: 1 г, углеводы: 45 г, калорийность: 200 ккал.
13;Макароны;70 рублей;https://example.com;Макаронные изделия, вес 500 г. Состав: мука пшеничная. Белки: 10 г, жиры: 1 г, углеводы: 70 г, калорийность: 350 ккал.
14;Шоколад;120 рублей;https://example.com;Темный шоколад, вес 100 г. Состав: какао-масса, сахар, какао-масло. Белки: 5 г, жиры: 30 г, углеводы: 50 г, калорийность: 500 ккал.
15;Мёд;300 рублей;https://example.com;Натуральный мёд, вес 500 г. Состав: 100% мёд. Белки: 0.3 г, жиры: 0 г, углеводы: 80 г, калорийность: 300 ккал.
16;Оливковое масло;400 рублей;https://example.com;Оливковое масло extra virgin, объем 1 л. Состав: оливковое масло. Белки: 0 г, жиры: 99 г, углеводы: 0 г, калорийность: 880 ккал.
17;Сметана;180 рублей;https://example.com;Сметана 20%, вес 400 г. Состав: молоко, закваска. Белки: 2.5 г, жиры: 20 г, углеводы: 3 г, калорийность: 200 ккал.
18;Йогурт;60 рублей;https://example.com;Натуральный йогурт, объем 500 мл. Состав: молоко, закваска. Белки: 4 г, жиры: 3 г, углеводы: 5 г, калорийность: 60 ккал.
19;Сыр;300 рублей;https://example.com;Твердый сыр, вес 500 г. Состав: молоко, закваска, соль. Белки: 25 г, жиры: 30 г, углеводы: 1 г, калорийность: 400 ккал.
20;Колбаса;200 рублей;https://example.com;Вареная колбаса, вес 500 г. Состав: мясо, вода, специи. Белки: 10 г, жиры: 25 г, углеводы: 2 г, калорийность: 280 ккал.
21;Кетчуп;80 рублей;https://example.com;Кетчуп томатный, объем 500 мл. Состав: томаты, сахар, уксус. Белки: 1 г, жиры: 0 г, углеводы: 20 г, калорийность: 80 ккал.
22;Майонез;90 рублей;https://example.com;Майонез, объем 500 мл. Состав: масло, яйца, уксус. Белки: 2 г, жиры: 70 г, углеводы: 3 г, калорийность: 600 ккал.
23;Консервы тунец;150 рублей;https://example.com;Тунец в собственном соку, вес 200 г. Состав: тунец, вода, соль. Белки: 25 г, жиры: 1 г, углеводы: 0 г, калорийность: 100 ккал.
24;Консервы горошек;60 рублей;https://example.com;Зеленый горошек, вес 400 г. Состав: горошек, вода, соль. Белки: 5 г, жиры: 0 г, углеводы: 10 г, калорийность: 50 ккал.
25;Чипсы;100 рублей;https://example.com;Картофельные чипсы, вес 150 г. Состав: картофель, масло, соль. Белки: 4 г, жиры: 30 г, углеводы: 50 г, калорийность: 500 ккал.
26;Попкорн;120 рублей;https://example.com;Попкорн без масла, вес 200 г. Состав: кукуруза. Белки: 3 г, жиры: 1 г, углеводы: 70 г, калорийность: 300 ккал.
27;Овсянка;80 рублей;https://example.com;Овсяные хлопья, вес 500 г. Состав: овес. Белки: 12 г, жиры: 7 г, углеводы: 60 г, калорийность: 350 ккал.
28;Манка;60 рублей;https://example.com;Манная крупа, вес 500 г. Состав: пшеница. Белки: 10 г, жиры: 1 г, углеводы: 70 г, калорийность: 330 ккал.
29;Перловка;70 рублей;https://example.com;Перловая крупа, вес 500 г. Состав: ячмень. Белки: 9 г, жиры: 2 г, углеводы: 70 г, калорийность: 320 ккал.
30;Геркулес;90 рублей;https://example.com;Овсяные хлопья быстрого приготовления, вес 500 г. Состав: овес. Белки: 11 г, жиры: 6 г, углеводы: 65 г, калорийность: 340 ккал.
31;Лосось;500 рублей;https://example.com;Филе лосося, вес 1 кг. Состав: рыба лосось. Белки: 20 г, жиры: 13 г, углеводы: 0 г, калорийность: 200 ккал.
32;Креветки;600 рублей;https://example.com;Очищенные креветки, вес 500 г. Состав: креветки. Белки: 25 г, жиры: 1 г, углеводы: 0 г, калорийность: 100 ккал.
33;Икра красная;1200 рублей;https://example.com;Красная икра, вес 200 г. Состав: икра лососевых рыб, соль. Белки: 25 г, жиры: 15 г, углеводы: 0 г, калорийность: 250 ккал.
34;Икра черная;3000 рублей;https://example.com;Черная икра, вес 100 г. Состав: икра осетровых рыб, соль. Белки: 28 г, жиры: 18 г, углеводы: 0 г, калорийность: 270 ккал.
35;Сгущенка;100 рублей;https://example.com;Сгущенное молоко, вес 380 г. Состав: молоко, сахар. Белки: 7 г, жиры: 8 г, углеводы: 55 г, калорийность: 320 ккал.
36;Мороженое;150 рублей;https://example.com;Ванильное мороженое, вес 500 г. Состав: молоко, сахар, ваниль. Белки: 3 г, жиры: 10 г, углеводы: 20 г, калорийность: 150 ккал.
37;Варенье;120 рублей;https://example.com;Клубничное варенье, вес 400 г. Состав: клубника, сахар. Белки: 0.5 г, жиры: 0 г, углеводы: 60 г, калорийность: 250 ккал.
38;Джем;130 рублей;https://example.com;Абрикосовый джем, вес 400 г. Состав: абрикосы, сахар. Белки: 0.5 г, жиры: 0 г, углеводы: 65 г, калорийность: 260 ккал.
39;Соль;30 рублей;https://example.com;Поваренная соль, вес 1 кг. Состав: хлорид натрия. Белки: 0 г, жиры: 0 г, углеводы: 0 г, калорийность: 0 ккал.
40;Сахар;80 рублей;https://example.com;Сахар-песок, вес 1 кг. Состав: сахароза. Белки: 0 г, жиры: 0 г, углеводы: 100 г, калорийность: 400 ккал.
41;Кофе;500 рублей;https://example.com;Молотый кофе, вес 250 г. Состав: зерна кофе. Белки: 0 г, жиры: 0 г, углеводы: 0 г, калорийность: 0 ккал.
42;Чай;300 рублей;https://example.com;Черный чай, вес 100 г. Состав: листовой чай. Белки: 0 г, жиры: 0 г, углеводы: 0 г, калорийность: 0 ккал.
43;Какао;200 рублей;https://example.com;Какао-порошок, вес 200 г. Состав: какао-бобы. Белки: 20 г, жиры: 10 г, углеводы: 30 г, калорийность: 300 ккал.
44;Минеральная вода;50 рублей;https://example.com;Вода минеральная, объем 1.5 л. Состав: вода, минералы. Белки: 0 г, жиры: 0 г, углеводы: 0 г, калорийность: 0 ккал.
45;Сок апельсиновый;100 рублей;https://example.com;Апельсиновый сок, объем 1 л. Состав: апельсины. Белки: 1 г, жиры: 0 г, углеводы: 10 г, калорийность: 45 ккал.
46;Сок яблочный;90 рублей;https://example.com;Яблочный сок, объем 1 л. Состав: яблоки. Белки: 0.5 г, жиры: 0 г, углеводы: 12 г, калорийность: 50 ккал.
47;Газировка;60 рублей;https://example.com;Газированный напиток, объем 0.5 л. Состав: вода, сахар, углекислый газ. Белки: 0 г, жиры: 0 г, углеводы: 10 г, калорийность: 40 ккал.
48;Пиво;120 рублей;https://example.com;Пиво светлое, объем 0.5 л. Состав: вода, солод, хмель. Белки: 1 г, жиры: 0 г, углеводы: 4 г, калорийность: 45 ккал.
49;Вино;300 рублей;https://example.com;Красное вино, объем 0.75 л. Состав: виноград. Белки: 0 г, жиры: 0 г, углеводы: 2 г, калорийность: 70 ккал.
50;Водка;500 рублей;https://example.com;Водка, объем 0.5 л. Состав: вода, спирт. Белки: 0 г, жиры: 0 г, углеводы: 0 г, калорийность: 230 ккал.
51;Морковь;60 рублей;https://example.com;Свежая морковь, вес 1 кг. Состав: 100% натуральная морковь. Белки: 1 г, жиры: 0.2 г, углеводы: 7 г, калорийность: 35 ккал.
52;Лук репчатый;40 рублей;https://example.com;Репчатый лук, вес 1 кг. Состав: 100% натуральный лук. Белки: 1.1 г, жиры: 0 г, углеводы: 9 г, калорийность: 40 ккал.
53;Картофель;50 рублей;https://example.com;Свежий картофель, вес 1 кг. Состав: 100% натуральный картофель. Белки: 2 г, жиры: 0.1 г, углеводы: 17 г, калорийность: 80 ккал.
54;Капуста белокочанная;30 рублей;https://example.com;Белокочанная капуста, вес 1 кг. Состав: 100% натуральная капуста. Белки: 1.5 г, жиры: 0 г, углеводы: 6 г, калорийность: 30 ккал.
55;Огурцы;80 рублей;https://example.com;Свежие огурцы, вес 1 кг. Состав: 100% натуральные огурцы. Белки: 0.7 г, жиры: 0.1 г, углеводы: 3 г, калорийность: 15 ккал.
56;Помидоры;100 рублей;https://example.com;Свежие помидоры, вес 1 кг. Состав: 100% натуральные помидоры. Белки: 0.9 г, жиры: 0.2 г, углеводы: 4 г, калорийность: 20 ккал.
57;Перец сладкий;120 рублей;https://example.com;Сладкий болгарский перец, вес 1 кг. Состав: 100% натуральный перец. Белки: 1 г, жиры: 0.3 г, углеводы: 6 г, калорийность: 30 ккал.
58;Чеснок;150 рублей;https://example.com;Свежий чеснок, вес 200 г. Состав: 100% натуральный чеснок. Белки: 6 г, жиры: 0 г, углеводы: 30 г, калорийность: 140 ккал.
59;Свекла;40 рублей;https://example.com;Свежая свекла, вес 1 кг. Состав: 100% натуральная свекла. Белки: 1.6 г, жиры: 0.1 г, углеводы: 10 г, калорийность: 45 ккал.
60;Зелень укропа;60 рублей;https://example.com;Свежий укроп, вес 100 г. Состав: 100% натуральный укроп. Белки: 2.5 г, жиры: 0.5 г, углеводы: 4 г, калорийность: 30 ккал.
61;Петрушка;70 рублей;https://example.com;Свежая петрушка, вес 100 г. Состав: 100% натуральная петрушка. Белки: 3 г, жиры: 0.8 г, углеводы: 6 г, калорийность: 35 ккал.
62;Брокколи;120 рублей;https://example.com;Свежая брокколи, вес 1 кг. Состав: 100% натуральная брокколи. Белки: 2.8 г, жиры: 0.4 г, углеводы: 7 г, калорийность: 35 ккал.
63;Цветная капуста;100 рублей;https://example.com;Свежая цветная капуста, вес 1 кг. Состав: 100% натуральная цветная капуста. Белки: 1.9 г, жиры: 0.3 г, углеводы: 5 г, калорийность: 25 ккал.
64;Кабачки;80 рублей;https://example.com;Свежие кабачки, вес 1 кг. Состав: 100% натуральные кабачки. Белки: 1.2 г, жиры: 0.3 г, углеводы: 3.5 г, калорийность: 20 ккал.
65;Баклажаны;90 рублей;https://example.com;Свежие баклажаны, вес 1 кг. Состав: 100% натуральные баклажаны. Белки: 1 г, жиры: 0.2 г, углеводы: 6 г, калорийность: 25 ккал.
